dataset_category_train,dataset_category_test,precision_macro,recall_macro,f1_macro
stormfront_post,stormfront_post,0.7180852452170281,0.5684407687624061,0.5737358109281507
stormfront_post,ami,0.2764804003336113,0.4992469879518072,0.35587761674718194
stormfront_post,trac_covert,0.5241610738255034,0.5007014590347924,0.3997988760007127
stormfront_post,trac_overt,0.6827181208053692,0.5066913305793808,0.4493253391608093
stormfront_post,trac_aggr,0.7068791946308725,0.5056593095642332,0.3038575007859995
stormfront_post,offenseval,0.3793103448275862,0.5,0.4313725490196078
stormfront_post,hateval_hate,0.4785285636349466,0.4988739981444471,0.3735431235431236
stormfront_post,hateval_aggression,0.5525290312524356,0.5041506552369691,0.4598240939130704
stormfront_post,zeerak_hate,0.7052445000521321,0.5126602450155622,0.4354819633353046
stormfront_post,zeerak_racism,0.7927701317207103,0.5377198848027893,0.5416811449900368
stormfront_post,zeerak_sexism,0.4124743683314218,0.4927059121682778,0.4417475610318553
stormfront_post,davidson_hate,0.5694949494949495,0.5016247362952234,0.488299686862014
stormfront_post,davidson_offensive,0.4183838383838384,0.4993937469499769,0.19241313317878106
stormfront_post,davidson_toxicity,0.4878787878787879,0.4998876305732738,0.1507536538974483
stormfront_post,founta_hateful,0.7110816921161123,0.5026845135647644,0.4941529693907009
stormfront_post,founta_abusive,0.42020722256477216,0.4997522261187466,0.4362570398217556
stormfront_post,founta_toxicity,0.6312889146808844,0.500361243465255,0.4227192442841298
stormfront_post,toxicity_toxic,0.5232216880756361,0.5046703028135098,0.4938470787527191
stormfront_post,toxicity_identityhate,0.5115044664156251,0.5219639169287235,0.5144170292692763
stormfront_post,toxicity_severetoxic,0.502840313466272,0.504761931121524,0.5030994040879073
stormfront_post,toxicity_insult,0.5090677894750745,0.5033761611460417,0.501182108375856
stormfront_post,toxicity_obscene,0.5111038220829626,0.503881689535335,0.5013728624819039
stormfront_post,toxicity_threat,0.502195444272571,0.5125577264129508,0.5011783666020981
ami,stormfront_post,0.5071951634877384,0.5009228643744317,0.4595816996072406
ami,ami,0.7610619469026549,0.7479994605286819,0.7505476482664495
ami,trac_covert,0.4726022497630417,0.497761176580621,0.40487910882990624
ami,trac_overt,0.6295759786826904,0.5133559327032791,0.4684155198776758
ami,trac_aggr,0.6021782284457321,0.5078672664708628,0.3170561101028433
ami,offenseval,0.6317891373801917,0.5132821723730815,0.4667752089438836
ami,hateval_hate,0.6233795190316929,0.5791573173772127,0.5589861815670225
ami,hateval_aggression,0.6153686892817327,0.6115257660853286,0.6133369025311561
ami,zeerak_hate,0.6941821768975379,0.5355886051006141,0.4869646913920047
ami,zeerak_racism,0.4606523947198606,0.4849376438006125,0.4686946586689518
ami,zeerak_sexism,0.7335297821776774,0.5578241193294957,0.557161105598701
ami,davidson_hate,0.4571065637297925,0.3168157057841872,0.3022430584177328
ami,davidson_offensive,0.73928635467097,0.8246859239046378,0.7424370879296651
ami,davidson_toxicity,0.6963929184007626,0.8325796674264505,0.6890580388389771
ami,founta_hateful,0.5224406338071483,0.5179402914685017,0.5196464127947644
ami,founta_abusive,0.7525664987485283,0.5493000120367372,0.5358894327375852
ami,founta_toxicity,0.7750071325556767,0.5475658475019591,0.5189929303605944
